scope,key,n_total,n_train,n_hold,train_n,train_C_MAE,train_C_MAPE,train_AR_MAE,train_AR_MAPE,train_Inv_MAE,train_Inv_MAPE,train_K_MAE,train_K_MAPE,train_AP_MAE,train_AP_MAPE,train_STD_MAE,train_STD_MAPE,train_LTD_MAE,train_LTD_MAPE,train_E_MAE,train_E_MAPE,hold_n,hold_C_MAE,hold_C_MAPE,hold_AR_MAE,hold_AR_MAPE,hold_Inv_MAE,hold_Inv_MAPE,hold_K_MAE,hold_K_MAPE,hold_AP_MAE,hold_AP_MAPE,hold_STD_MAE,hold_STD_MAPE,hold_LTD_MAE,hold_LTD_MAPE,hold_E_MAE,hold_E_MAPE,dso,dio,dpo,oca_to_sales,onca_to_sales,ocl_to_sales,oncl_to_sales,capex_to_sales,dep_to_ppe,cash_min_to_sales,r_st,r_lt,tax_rate,payout,fit_mode_used,loss,epoch,note,loss_mode
global,global,1373,928,445,928,2732967962.5676637,1.0666276494215063,2132973555.2628062,2.592384849357915,2977005443.4485145,2.3835794394731855,1959786934.859867,0.35684496910671953,1764175530.0035594,1.8261576542579283,3011095819.6959295,20.024329173732117,2905665721.155641,0.6521231605852392,12558263279.969688,1.4096662013602486,445,2735195850.6592593,1.017794925241855,2125229759.9390538,4.294650019799308,2945537524.8160286,2.416245910223096,2125857041.5369291,0.3841691947953967,1730535745.0677216,0.9193708493938415,3004681677.4777813,18.275623925159863,2777222523.748514,0.40748600884182534,12846967235.469803,1.1602149532095611,46.07111358642578,72.8775863647461,53.927391052246094,0.10000000149011612,0.5,0.10000000149011612,0.5,0.046320486813783646,0.11892247200012207,0.0023609434720128775,0.047993600368499756,0.047992512583732605,0.2264147251844406,0.4585423171520233,tf,21597493248.0,2499,,relative
sector,Communication Services,52,35,17,35,2830874716.895378,0.6571812978242443,2651136212.8858514,0.4831470638825424,1041087165.1283183,1.2398262494955452,5110971794.245511,0.17208084926715816,4019377209.619676,0.9467463945914795,2941009966.975686,0.9822370436875902,5872725842.829537,0.41978804767488287,27310047835.715996,2.9638729826874775,17,4054983785.7812357,0.7028240819804152,2709882509.922469,0.44849185354229015,1091562103.6731732,1.2520061695604077,5347575778.48818,0.12555986733751498,4180698403.4488964,0.9671656448016098,3305685851.4108715,4.668712419775952,6076451659.33254,0.41315202195279965,28415919603.98277,1.5195107072746619,32.02145767211914,6.000731945037842,32.42060089111328,0.10000000149011612,0.9813157916069031,0.1962631642818451,0.5,0.01117780338972807,0.10847822576761246,0.02048397995531559,0.08098023384809494,0.0077692740596830845,0.18081134557724,0.35373231768608093,tf,0.4559978246688843,2499,,relative
sector,Consumer Discretionary,148,101,47,101,3698624031.276613,0.8164519346018407,3958394826.488785,1.355167706848242,2878961893.615449,2.7567578973329905,4139198330.3854327,0.24997971842557357,2964273885.704176,0.5580098504406056,2072591394.9566858,0.984912764423851,2901261269.3132896,0.5107467008223774,7027684087.821387,1.1165444452554116,47,3326337215.9843726,0.8634906390927198,3852803460.2680964,1.2572966373185648,3076413446.567748,2.0190919450540927,4643261380.711306,0.34870277183408804,3368651756.6759787,0.5308279412018577,1899703580.944379,1.0379534306660443,3238379779.479101,0.5806560357661136,7352724415.892642,1.6903276062803645,3.2130346298217773,47.9903678894043,25.14256477355957,0.10000000149011612,0.5,0.10000000149011612,0.5,0.003815912641584873,0.1846926063299179,0.020860379561781883,0.19514299929141998,0.16106504201889038,0.39266437292099,0.7221540808677673,tf,5.752468585968018,2499,,relative
sector,Energy,63,42,21,42,1704342946.610619,0.6290453235410649,1202729526.9721942,0.3225463332307029,1327336084.616268,0.5641300614027571,2980706459.080171,0.1068536620129012,1321240951.364536,0.8292226296888779,825647111.1737823,1.0459442835503243,4006378664.111533,0.47130776554692844,7871863820.402219,0.4087791986068264,21,1222064156.9614162,0.7487060293062461,1434604020.1729777,0.3989946983973677,1514875724.6031969,0.5931822811409038,7441940736.235194,0.21363941146466242,1413537526.5134594,0.7453402840283047,1495798507.3356602,1.492922090566044,4770782468.472224,0.5054468363483116,8652597948.179237,0.37012446162411206,28.650638580322266,12.765129089355469,42.979007720947266,0.10000000149011612,0.5,0.10000000149011612,0.5,0.03115427866578102,0.07053475826978683,0.01737816445529461,0.0905008465051651,0.18775668740272522,0.279118150472641,0.4067113399505615,tf,0.45061439275741577,2499,,relative
sector,Financials,98,66,32,66,2782029757.9736757,1.3289326100540753,3040142182.880441,0.8030423766374367,29899700.160279997,0.297612167667091,157791250.3370627,0.13485051267578513,5002808628.006049,2.1648650586010016,2581882385.3386626,85.62475333218092,4962794139.732751,0.5655137217426095,15634657362.32633,1.0654342048014238,32,3135105345.0700703,0.9032259112412376,4166205819.26629,0.8946305762319422,33179913.63795881,0.3013698251356423,97217533.27752878,0.09873953039678625,5561631275.397998,2.7656583562976627,3422454050.7625165,163.04578443032585,5533172462.292637,0.5859375219341794,16497945538.570412,0.9645833753883056,60.10595703125,1.9481818675994873,52.05125427246094,0.10000000149011612,0.9813157916069031,0.1962631642818451,0.5,0.0051644970662891865,0.04992910847067833,0.019070902839303017,0.0007766039343550801,0.0008052623015828431,0.013949074782431126,0.025890503078699112,tf,5702.7548828125,2499,,relative
sector,Information Technology,223,156,67,156,2928438803.975697,0.8356232230960168,1091895971.8852499,0.9389605265246518,2434145120.5950484,0.9386691997190151,2310974658.687044,0.4343368358978188,1155183765.2849364,5.979291410730428,1281465898.4046414,2.602708577330326,3457441356.456604,0.6915682807090324,13282721538.387281,1.9150358899618125,67,2959881693.2888446,0.7579946067865851,1188552825.1792672,0.9265530676986586,2933585927.6289053,0.8840046827259584,2770486341.9855194,0.4099193372291317,1883783770.4067144,1.0041411183236346,1843021733.7205665,36.29020554006765,4578988509.486828,0.7223362596873414,13251205610.680376,1.6351065386773576,49.627777099609375,102.38426971435547,53.490962982177734,0.10000000149011612,0.5,0.1962631642818451,0.5,0.002610785188153386,0.3756365180015564,0.0072446600534021854,0.010692968033254147,0.0016019836766645312,0.03717973455786705,0.08708962798118591,tf,3.268063545227051,2499,,relative
company,0700.HK,3,2,1,2,92090983.55065918,0.0005442694637531462,1588808169.7613373,0.03449721929957136,938720772.8521042,1.2306133755555921,6245126469.695244,0.0720449941348794,4268198118.0752716,0.04424132794821634,38862000000.0,1.0,26458159541.85193,0.08537085691355759,71430255610.62329,0.08644264074228122,1,54137204835.3486,0.4085240971886945,4127502441.735138,0.08562750122886828,933255710.1151862,2.1210357048072415,30664264070.308685,0.23524740558277152,23530928014.202835,0.19821861323373235,61508000000.0,1.0,15020574768.746094,0.054204963312893914,2896350383.984009,0.0027482316888801255,28.929088811225512,1.6116418203601897,111.70373805047399,0.5714245926232466,1.6327705991259678,0.44885226288935426,0.09195488836400938,0.08476886413879947,0.5,0.2827023489873619,0.034329880168220486,0.034329880168220486,0.18781167083113529,0.1254617431261563,heuristic,,-1,,
company,9988.HK,4,3,1,3,13029909647.302856,0.052628391185013806,1795389844.2899082,0.05762333518514243,2353743012.6403427,0.08827669936849442,76411443951.79851,0.30108826104076936,28914303556.09109,0.1555017448218262,76222100927.83911,7.732206114825523,61540397640.79554,0.45042941191071456,132741048425.36931,0.12150923613486087,1,76107578508.9577,0.5231228804563823,5684329722.903641,0.1823537059830502,12183397029.26168,0.6450678789252756,38111600627.49414,0.15284440935192897,98555709379.92401,0.4532276371442289,33728394413.8562,1.4949204154709779,66366000000.0,0.3188511633940454,140570743715.26807,0.12895144482762966,13.501882726459588,18.955338869736853,72.5365186764297,0.4766343522091699,0.9182168030602507,0.31048697632173616,0.11014784381486081,0.039544738208353525,0.09279304492209894,0.22240703139464232,0.11560024637336572,0.11560024637336572,0.21971366712828413,0.22429976627629392,heuristic,,-1,,
company,BABA,4,3,1,3,13029909647.302856,0.052628391185013806,1795389844.2899082,0.05762333518514243,2353743012.6403427,0.08827669936849442,76411443951.79851,0.30108826104076936,28914303556.09109,0.1555017448218262,76222100927.83911,7.732206114825523,61540397640.79554,0.45042941191071456,132741048425.36931,0.12150923613486087,1,76107578508.9577,0.5231228804563823,5684329722.903641,0.1823537059830502,12183397029.26168,0.6450678789252756,38111600627.49414,0.15284440935192897,98555709379.92401,0.4532276371442289,33728394413.8562,1.4949204154709779,66366000000.0,0.3188511633940454,140570743715.26807,0.12895144482762966,13.501882726459588,18.955338869736853,72.5365186764297,0.4766343522091699,0.9182168030602507,0.31048697632173616,0.11014784381486081,0.039544738208353525,0.09279304492209894,0.22240703139464232,0.11560024637336572,0.11560024637336572,0.21971366712828413,0.22429976627629392,heuristic,,-1,,
company,GOOG,3,2,1,2,16362885790.420143,0.710020518458557,2021150157.7028847,0.046004111858262337,0.0,0.0,2032086288.1901245,0.014747384930785836,1009922931.564497,0.16500879285579728,2634000000.0,1.0,12363500000.0,1.0,37080511627.62125,0.13713430182343572,1,30757986732.61609,1.3107468990290672,122358652.8910141,0.0023377656265000783,,,14756617841.59085,0.07992795000428357,903521090.0477695,0.11312396269535113,2887000000.0,1.0,10883000000.0,1.0,53329077918.44928,0.16404707066004257,54.45273983536499,7.722082676323067,17.67165941337036,0.35351935397191303,0.26386476297660544,0.22541402091731447,0.08886499953866808,0.10811819717700379,0.11056571843145438,0.0775309948743939,0.021916919076453607,0.021916919076453607,0.14914688035963053,0.25,heuristic,,-1,,
company,GOOGL,3,2,1,2,16362885790.420143,0.710020518458557,2021150157.7028847,0.046004111858262337,0.0,0.0,2032086288.1901245,0.014747384930785836,1009922931.564497,0.16500879285579728,2634000000.0,1.0,12363500000.0,1.0,37080511627.62125,0.13713430182343572,1,30757986732.61609,1.3107468990290672,122358652.8910141,0.0023377656265000783,,,14756617841.59085,0.07992795000428357,903521090.0477695,0.11312396269535113,2887000000.0,1.0,10883000000.0,1.0,53329077918.44928,0.16404707066004257,54.45273983536499,7.722082676323067,17.67165941337036,0.35351935397191303,0.26386476297660544,0.22541402091731447,0.08886499953866808,0.10811819717700379,0.11056571843145438,0.0775309948743939,0.021916919076453607,0.021916919076453607,0.14914688035963053,0.25,heuristic,,-1,,
company,JPM,0,0,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,60.0,30.0,60.0,0.02,0.1,0.02,0.1,0.08,0.06,0.02,0.05,0.05,0.2,0.25,heuristic,,-1,,
company,MSFT,3,2,1,2,9730773225.0921,0.33667445852662947,282759921.16046524,0.005356930856604556,739975821.1409371,0.45371534678019787,9180765202.668411,0.066182493461778,771590959.9915085,0.03863701929008488,7094500000.0,1.0,16422381939.232258,0.3850130638375576,13414676554.741318,0.05328598702363442,1,4174903420.0110245,0.13804984524869468,4829613727.768929,0.0690882444427284,1467230722.7317052,1.5642118579229267,40997456904.40741,0.17841348760997006,2625282294.7556,0.094693489206305,2999000000.0,1.0,10577969141.100136,0.2634481256500333,1684630630.1794434,0.004904610267816791,84.31129754427859,9.995436848004376,104.30294500135722,0.4018973371100055,0.6814108070210529,0.38311009661291623,0.29509283367970296,0.15704089437711413,0.06472026134831974,0.09252707110501404,0.050833326133334765,0.050833326133334765,0.18604975925577727,0.2603220173123009,heuristic,,-1,,
company,TCEHY,3,2,1,2,92090983.55065918,0.0005442694637531462,1588808169.7613373,0.03449721929957136,938720772.8521042,1.2306133755555921,6245126469.695244,0.0720449941348794,4268198118.0752716,0.04424132794821634,38862000000.0,1.0,26458159541.85193,0.08537085691355759,71430255610.62329,0.08644264074228122,1,54137204835.3486,0.4085240971886945,4127502441.735138,0.08562750122886828,933255710.1151862,2.1210357048072415,30664264070.308685,0.23524740558277152,23530928014.202835,0.19821861323373235,61508000000.0,1.0,15020574768.746094,0.054204963312893914,2896350383.984009,0.0027482316888801255,28.929088811225512,1.6116418203601897,111.70373805047399,0.5714245926232466,1.6327705991259678,0.44885226288935426,0.09195488836400938,0.08476886413879947,0.5,0.2827023489873619,0.034329880168220486,0.034329880168220486,0.18781167083113529,0.1254617431261563,heuristic,,-1,,
company,VOW3.DE,3,2,1,2,4747757091.7979355,0.11878816089118946,1085116056.2758942,0.01701821022313089,3228833133.061928,0.06262607904144563,2160094630.524109,0.017011165160569275,1026944967.7016506,0.03439584778296997,9345669710.482338,0.13430300543201595,5094000000.0,0.044758472666076986,16604620656.748322,0.09128024449294377,1,4390618177.25209,0.10895915667192999,1182092878.301834,0.017464105046786443,3101411759.526848,0.05837182412720861,9196572902.676193,0.06358074239288317,2704163582.318962,0.0908290871395594,21616415186.59413,0.34789434596594726,13505000000.0,0.106163872053078,5686617086.782288,0.02890554659297359,77.42748117410842,77.39982537493702,44.700282473853704,0.26945048097407587,0.7449467120596605,0.3288096781253902,0.30203990860556196,0.08064080389390409,0.16574165368086743,0.11059549929231927,0.015219049174366561,0.015219049174366561,0.2637064157929316,0.4959281214115989,heuristic,,-1,,
company,VWAGY,3,2,1,2,4747757091.7979355,0.11878816089118946,1085116056.2758942,0.01701821022313089,3228833133.061928,0.06262607904144563,2160094630.524109,0.017011165160569275,1026944967.7016506,0.03439584778296997,9345669710.482338,0.13430300543201595,5094000000.0,0.044758472666076986,16604620656.748322,0.09128024449294377,1,4390618177.25209,0.10895915667192999,1182092878.301834,0.017464105046786443,3101411759.526848,0.05837182412720861,9196572902.676193,0.06358074239288317,2704163582.318962,0.0908290871395594,21616415186.59413,0.34789434596594726,13505000000.0,0.106163872053078,5686617086.782288,0.02890554659297359,77.42748117410842,77.39982537493702,44.700282473853704,0.26945048097407587,0.7449467120596605,0.3288096781253902,0.30203990860556196,0.08064080389390409,0.16574165368086743,0.11059549929231927,0.015219049174366561,0.015219049174366561,0.2637064157929316,0.4959281214115989,heuristic,,-1,,
company,XOM,3,2,1,2,3454984600.5785275,0.1111568761901351,1491458414.0711975,0.04715337412217281,2402746354.3673058,0.09710204146985546,12256470169.930847,0.058514747963654974,1708547231.2449512,0.05296227575945995,12752926609.613375,17.389474147655164,4418682431.223675,0.1251239815833025,9926387913.538025,0.0481130830211348,1,3541950460.8604317,0.15380391944332936,5953997542.955029,0.16875453610778948,484388753.3877716,0.02059125800832221,81586424932.2926,0.2772050127151333,5047981335.850838,0.13965918760135115,4955000000.0,1.0,200059095.2697258,0.006098618926646927,59683358181.174164,0.22055445252941236,31.554356845665296,33.38245707695677,43.23884045033216,0.027856501386807883,0.18046345087267118,0.08898120451426729,0.17244257873353397,0.055829761868913655,0.09839259401244975,0.07832331740843819,0.01990610989020422,0.01990610989020422,0.28285746890000285,0.3414623618982368,heuristic,,-1,,
